anchor,match_1,match_2,model_score,llava_score
data\1910_1.jpg,data\510_3.jpg,data\953_3.jpg,6.08,8
data\1120_1.jpg,data\1713_3.jpg,data\1386_1.jpg,5.92,8
data\1603_1.jpg,data\807_3.jpg,data\1699_3.jpg,5.9,10
data\2353_1.jpg,data\1039_2.jpg,data\1993_1.jpg,5.88,7
data\1158_1.jpg,data\3484_3.jpg,data\1934_3.jpg,6.12,10
data\2341_1.jpg,data\1356_2.jpg,data\1241_1.jpg,6.38,8
data\696_1.jpg,data\1301_3.jpg,data\3312_1.jpg,6.28,8
data\2220_1.jpg,data\916_3.jpg,data\2278_1.jpg,6.1,8
data\3188_1.jpg,data\132_1.jpg,data\3162_1.jpg,6.12,8
data\153_1.jpg,data\1873_2.jpg,data\1431_1.jpg,6.08,8
data\2566_1.jpg,data\3457_3.jpg,data\2769_1.jpg,5.94,8
data\1680_1.jpg,data\900_2.jpg,data\1611_1.jpg,6.22,10
data\1759_1.jpg,data\975_3.jpg,data\2130_1.jpg,6.04,8
data\432_1.jpg,data\1607_3.jpg,data\1157_2.jpg,6.04,8
data\2585_1.jpg,data\2443_3.jpg,data\1253_1.jpg,6.08,8
data\3261_1.jpg,data\1443_3.jpg,data\1243_1.jpg,6.0,10
data\682_1.jpg,data\1621_3.jpg,data\3312_1.jpg,6.1,8
data\1539_1.jpg,data\1309_3.jpg,data\628_3.jpg,6.22,8
data\824_1.jpg,data\823_1.jpg,data\2869_1.jpg,6.04,8
data\1322_1.jpg,data\274_3.jpg,data\1482_3.jpg,6.0,8
data\1663_1.jpg,data\1356_2.jpg,data\1632_1.jpg,6.04,8
data\2363_1.jpg,data\99_2.jpg,data\1962_1.jpg,6.06,8
data\2449_1.jpg,data\132_1.jpg,data\1520_1.jpg,6.3,8
data\1176_1.jpg,data\1182_1.jpg,data\2154_1.jpg,6.12,10
data\3021_1.jpg,data\1244_1.jpg,data\2969_1.jpg,6.26,9
data\2829_1.jpg,data\1680_1.jpg,data\2831_1.jpg,6.06,8
data\2525_1.jpg,data\132_1.jpg,data\1520_1.jpg,6.34,8
data\1501_1.jpg,data\807_3.jpg,data\710_1.jpg,6.28,8
data\797_1.jpg,data\521_3.jpg,data\79_1.jpg,5.88,10
data\1641_1.jpg,data\1621_3.jpg,data\1543_1.jpg,6.12,10
data\1934_1.jpg,data\1042_1.jpg,data\2038_1.jpg,6.12,8
data\538_1.jpg,data\3503_2.jpg,data\3133_1.jpg,6.06,8
data\380_1.jpg,data\1638_1.jpg,data\2879_1.jpg,6.02,8
data\3474_1.jpg,data\132_1.jpg,data\605_1.jpg,6.16,8
data\363_1.jpg,data\1938_3.jpg,data\1532_3.jpg,5.94,8
data\1362_1.jpg,data\1175_1.jpg,data\1300_3.jpg,6.06,10
data\20_1.jpg,data\1794_3.jpg,data\71_1.jpg,6.06,8
data\136_1.jpg,data\1111_1.jpg,data\1268_1.jpg,5.98,10
data\2259_1.jpg,data\22_1.jpg,data\1748_2.jpg,6.26,8
data\740_1.jpg,data\99_2.jpg,data\1610_1.jpg,6.34,8
data\3283_1.jpg,data\132_1.jpg,data\3162_1.jpg,6.22,8
data\675_1.jpg,data\514_2.jpg,data\2190_3.jpg,6.18,8
data\3308_1.jpg,data\1301_3.jpg,data\3047_1.jpg,6.12,8
data\1736_1.jpg,data\132_1.jpg,data\692_1.jpg,6.16,8
data\295_1.jpg,data\3503_2.jpg,data\3118_1.jpg,6.08,8
data\3007_1.jpg,data\1301_3.jpg,data\1702_1.jpg,6.34,8
data\1973_1.jpg,data\2734_2.jpg,data\1961_1.jpg,5.94,8
data\1027_1.jpg,data\58_1.jpg,data\500_2.jpg,5.86,8
data\2491_1.jpg,data\1680_1.jpg,data\1108_1.jpg,5.9,8
data\2237_1.jpg,data\2396_1.jpg,data\2262_1.jpg,5.94,7
data\84_1.jpg,data\22_1.jpg,data\847_2.jpg,6.1,8
data\2495_1.jpg,data\1680_1.jpg,data\1520_1.jpg,6.18,7
data\2401_1.jpg,data\1836_3.jpg,data\1962_1.jpg,6.16,8
data\560_1.jpg,data\1637_2.jpg,data\2981_1.jpg,6.32,8
data\1023_1.jpg,data\1323_1.jpg,data\1115_1.jpg,5.84,8
data\3162_1.jpg,data\807_3.jpg,data\1982_2.jpg,6.16,8
data\114_1.jpg,data\2323_2.jpg,data\1993_1.jpg,6.16,7
data\2547_1.jpg,data\2451_2.jpg,data\2827_1.jpg,5.94,8
data\1520_1.jpg,data\3181_3.jpg,data\3312_1.jpg,6.26,8
data\3106_1.jpg,data\1301_3.jpg,data\1632_1.jpg,6.18,8
data\187_1.jpg,data\1873_2.jpg,data\2107_1.jpg,6.04,8
data\3098_1.jpg,data\1621_3.jpg,data\1590_1.jpg,6.26,8
data\2004_1.jpg,data\3226_2.jpg,data\2679_3.jpg,5.98,7
data\702_1.jpg,data\1621_3.jpg,data\1702_1.jpg,6.16,8
data\2047_1.jpg,data\1039_2.jpg,data\2323_1.jpg,5.98,8
data\2767_1.jpg,data\1218_1.jpg,data\1433_1.jpg,6.08,8
data\1279_1.jpg,data\1356_2.jpg,data\1748_2.jpg,6.02,8
data\313_1.jpg,data\132_1.jpg,data\2194_1.jpg,6.16,8
data\378_1.jpg,data\1769_2.jpg,data\3133_1.jpg,6.22,8
data\1311_1.jpg,data\814_2.jpg,data\1241_1.jpg,6.12,10
data\1624_1.jpg,data\1621_3.jpg,data\2904_1.jpg,6.1,8
data\147_1.jpg,data\1218_1.jpg,data\79_1.jpg,6.0,8
data\2110_1.jpg,data\99_2.jpg,data\2822_3.jpg,6.04,8
data\920_1.jpg,data\1837_1.jpg,data\1691_1.jpg,6.38,8
data\748_1.jpg,data\923_1.jpg,data\1711_3.jpg,6.14,8
data\1197_1.jpg,data\1042_1.jpg,data\2038_1.jpg,6.14,8
data\805_1.jpg,data\132_1.jpg,data\1689_1.jpg,6.22,7
data\2705_1.jpg,data\931_1.jpg,data\2752_1.jpg,6.12,8
data\1730_1.jpg,data\1879_1.jpg,data\100_1.jpg,6.12,8
data\3350_1.jpg,data\2061_2.jpg,data\2879_1.jpg,6.3,8
data\1844_1.jpg,data\662_2.jpg,data\1230_2.jpg,6.08,7
data\107_1.jpg,data\1301_3.jpg,data\1702_1.jpg,6.38,8
data\972_1.jpg,data\975_3.jpg,data\12_1.jpg,6.02,7
data\1686_1.jpg,data\1337_3.jpg,data\1702_1.jpg,6.14,10
data\139_1.jpg,data\99_2.jpg,data\1993_1.jpg,6.2,7
data\1417_1.jpg,data\814_2.jpg,data\1472_2.jpg,6.24,8
data\2069_1.jpg,data\22_1.jpg,data\1748_2.jpg,6.12,8
data\2279_1.jpg,data\1468_3.jpg,data\2191_1.jpg,6.14,7
